في	in/ within	fī
الواضح	clear	wāḍiḥ
مسافة	distance/ interval	masāfa
الراهنة
المشحونة
لتنظيم	verbal noun of نَظَّمَ (naẓẓama) (form II)	tanẓīm
البطالة
زاوية	angle/ corner/ edge	zāwiya
والتجارة	verbal noun of تَجَرَ (tajara) (form I)	tijāra
سينما	cinema	sīnamā
الجليل
شرط	to make a condition/ to stipulate	šaraṭa
إيجابية	positivity/ positivism/ optimism	ʔījābiyya
الاجهزه
وتقول	to fabricate/ to make up	taqawwala
والديكور	decor/ decoration.	dīkūr
القدر	to have power	qadara
الامير
وأحمد	to show oneself praiseworthy	ʔaḥmada
السويسري
البرازيلي	Brazilian	barāzīliyy
وعد	to promise (construed doubly transitive or someone بِ (bi) something)	waʕada
السعيد	happy/ cheerful/ joyous	saʕīd
علمي	related to knowledge	ʕilmiyy
حمود
تتطلب
جازان
الفضائيات
رياضيات	mathematics	riyāḍiyyāt
المسيرة	verbal noun of سَارَ (sāra) (form I)	masīra
الشهري
بقي	to last/ to endure	baqiya
الناتج
يضمن
فكر	to think/ ponder over	fakara
حدة	verbal noun of حَدَّ (ḥadda) (form I)	ḥidda
بريد	post/ mail/ an institution to send messages/ intelligence	barīd
الحروب	plural of حَرْب (ḥarb)	ḥurūb
كورة	a type of administrative division/ translated as “district” or…	kūra
اسئلة
أعوام	plural of عَام (ʕām)	ʔaʕwām
شكر	to thank/ to be thankful/ to be grateful	šakara
والعراق	Iraq (a country in Asia)	al-ʕirāq
ياسين	a male given name/ Yasin	yāsīn
لجان	plural of لَجْنَة (lajna)	lijān
التأثير	verbal noun of أَثَّرَ (ʔaṯṯara) (form II)	taʔṯīr
المنتظر
والترفيه
الرائدة
الحسابات	plural of حِسَاب (ḥisāb)	ḥisābāt
الخليل	Hebron (a city in the West Bank/ Palestine)	al-ḵalīl
غريبة	peculiarity/ a strange occurrence	ḡarība
صدى	verbal noun of صَدِيَ (ṣadiya) (form I): extreme thirst	ṣadan
إم
اعداد
السجون
للنساء	longevity/ long life	nasāʔ
حسبما	according to/ from what/ depending on	ḥasabamā
والطب	verbal noun of طَبَّ (ṭabba) (form I)	ṭibb
عرفت		form I
جدد	to renew/ refresh/ restore/ refurbish	jaddada
يساوي		form III
يمكننا
آخرون	plural of آخِر (ʔāḵir)	ʔāḵirūn
صفة	verbal noun of وَصَفَ (waṣafa) (form I)	ṣifa
يتميز
والحوار	verbal noun of حَاوَرَ (ḥāwara) (form I)	ḥiwār
الشراكة
لمتابعة	verbal noun of تَابَعَ (tābaʕa) (form III)	mutābaʕa
الضحايا	plural of ضَحِيَّة (ḍaḥiyya)	ḍaḥāyā
استعداد	verbal noun of اِسْتَعَدَّ (istaʕadda) (form X)	istiʕdād
سلطنة	sultanate	salṭana
وكتب	to mark (symbols/ shapes/ graphs/ glyphs/ letters/ and the like)…	kataba
موظفي
تبوك
الراحة	verbal noun of رَاحَ (rāḥa) (form I)	rāḥa
العملة
الموازنة	verbal noun of وَازَنَ (wāzana) (form III)	muwāzana
الفتيات
قتلوا		form I
بقوله
للقيام	verbal noun of قَامَ (qāma) (form I)	qiyām
البصري
والثاني		ṯānī
مشكلات	plural of مُشْكِلَة (muškila)	muškilāt
العائلات
شهادات	plural of شَهَادَة (šahāda)	šahādāt
بعيدة	feminine singular of بَعِيد (baʕīd)	baʕīda
اكس
فلل	to make have notches/ to jag	fallala
متطلبات
التوقيع	verbal noun of وَقَّعَ (waqqaʕa) (form II)	tawqīʕ
القوية	feminine singular of قَوِيّ (qawiyy)	qawiyya
ابريل	alternative spelling of أَبْرِيل (ʔabrīl)	ʔabrīl
الحارس	guard/ watchman/ guardian/ keeper	ḥāris
دعت		daʕat
بلدان	plural of بَلَد (balad)	buldān
الحرام	forbidden/ interdicted/ unlawful/ illegitimate/ haram	ḥarām
الكومبيوتر
المستخدمة
المضافة
قرى	to receive or treat as a guest/ to entertain/ to feed in hospitality	qarā
يهتم		form VIII
عدا	to run/ to move quickly	ʕadā
عشرين	genitive/accusative of عِشْرُونَ (ʕišrūna)	ʕišrīna
تهتم		form I
وثائق	plural of وَثِيقَة (waṯīqa)	waṯāʔiq
الندوة	discussion meeting/ seminar/ symposium	nadwa
بئر	well/ spring/ water-pit	biʔr
التدخين
المعاصرة
شاطئ	shore/ coast/ seacoast/ beach/ strand	šāṭiʔ
يعانون
الجن
العالمين	definite accusative plural of عَالَم (ʕālam/ “world”)	al-ʕālamīna
كرتون
برميل	barrel/ cask/ keg/ drum	birmīl
المخ
الطفولة
انطلقت
اجهزه
الغرف	to lade out/ to scoop	ḡarafa
والتصميم	verbal noun of صَمَّمَ (ṣammama) (form II)	taṣmīm
اصلاح
هنالك	there	hunālika
حققت		form I
حرارة	heat	ḥarāra
سنتين
الحلم	to dream (something) or about [with بِ (bi)] (something) while asleep	ḥalama
نغمات
زياد	a male given name/ Ziyad	ziyād
ربط	to tie up/ to bind	rabaṭa
الإقتراحات
معارض	plural of مَعْرِض (maʕriḍ)	maʕāriḍ
غضون
صحافي	journalist	ṣiḥāfiyy
القدرات	plural of قُدْرَة (qudra)	qudrāt
تايجر
أشد	elative degree of شَدِيد (šadīd)	ʔašadd
اقامة
التحميل	verbal noun of حَمَّلَ (ḥammala) (form II)	taḥmīl
احتجاجا
لمصر	Egypt (a country in North Africa and West Asia)	miṣr
الامراض
طائر	bird	ṭāʔir
رفعت		form I
ايديال
العوامل	plural of عَامِل (ʕāmil)	ʕawāmil
واجب	necessary/ indispensable/ unavoidable/ essential/ inevitable/…	wājib
حينها
أسلوب	method/ manner/ mode/ style/ technique	ʔuslūb
لوضع	to put/ to lay/ to place/ to set/ to position/ to install/ to implant	waḍaʕa
الجيزة	Giza (a city/ the capital city of Giza governorate/ Egypt)
المنهج	specific manner of doing something/ methodology/ system/ programme	minhaj or manhaj
إلكترونية	feminine singular of إِلِكْتْرُونِيّ (ʔelektrōniyy)	ʔelektrōniyya
صراع	verbal noun of صَارَعَ (ṣāraʕa) (form III)	ṣirāʕ
وعبر	to cross/ to traverse	ʕabara
الاندرويد
أطلقت		form IV
اشهار
ومشاكل	plural of مُشْكِلَة (muškila)	mašākil
العامل	to do business with	ʕāmala
خريطة	map	ḵarīṭa
حيوانات	plural of حَيَوَان (ḥayawān)	ḥayawānāt
للتواصل	to be united by friendship	tawāṣala
الحاضر
يرغب		form I
مكتبه
مغربي	western/ occidental	maḡribiyy
أقصر	elative degree of قَصِير (qaṣīr)	ʔaqṣara
معك
مذكرات
سدي		form I
استضافة
ورأى	to see (to perceive with the eyes)	raʔā
ي	The twenty-eighth and last letter of the Arabic alphabet/ written…	/jaːʔ/
بطرس	Peter/ foremost among the Twelve Disciples/ and later a leading…	buṭrus
القادة
الرباط	Rabat (the capital city of Morocco/ and capital city of the region…	ar-ribāṭ or ar-rabāṭ
الطائفي
أعداد	plural of عَدَد (ʕadad)	ʔaʕdād
آي
شريك	a sharer	šarīk
يثبت		form I
بلجيكا	Belgium (a country in Western Europe that has borders with the…	biljīkā or baljīkā or beljīkā
سودانيز
مشروعات	plural of مَشْرُوع (mašrūʕ)	mašrūʕāt
التمثيل	verbal noun of مَثَّلَ (maṯṯala) (form II)	tamṯīl
وسواء	equal	sawāʔ
بيعه
أعلاه
يرجع		form I
المبوبة
أسرار	plural of سِرّ (sirr)	ʔasrār
تقدمها
العادة	custom/ habit/ manner/ wont	ʕāda
لست	masculine of سِتَّة (sitta/ “six”)	form I
ويأتي		form I
مسئولية
تسير		form I
الخلف	behind	ḵalfa
وجهات	plural of جِهَة (jiha)	jihāt
السلة	instance noun of سَلّ (sall/ “drawing out”).	salla
للحد	to prevent/ to restrain/ to check/ to hinder	ḥadda
أكواد
مناسبات	plural of مُنَاسَبَة (munāsaba)	munāsabāt
ينبع	Yanbu (a major port city in Al Madinah Province/ Saudi Arabia)	yanbuʕ
ريف	countryside/ rural area/ thorp land	rīf
ومنهم
لاسيما
مرشح	candidate (in an election)/ nominee	muraššaḥ
مثال	verbal noun of مَاثَلَ (māṯala) (form III)	miṯāl
حمزة	a male given name/ Hamza	ḥamza
تسوية	verbal noun of سَوَّى (sawwā) (form II)	taswiya
الفتاح
مؤكدة
للناس	people/ humans	nās
سيادة	verbal noun of سَادَ (sāda) (form I)	siyāda
تحدد		form I
لحركة	instance noun of حَرُكَ (ḥaruka): an instance of movement	ḥaraka
شاشات
الجنسي
المخصصة
المصارف
تايمز
بمجرد	as soon as/ once that	mujarrad
بيوت	plural of بَيْت (bayt)	buyūt
تتمثل		form V
والأعمال	plural of عَمَل (ʕamal)	ʔaʕmāl
تعارف	to get to know one another/ become acquainted with one another	taʕārafa
التزام	verbal noun of اِلْتَزَمَ (iltazama) (form VIII)	iltizām
اهداف
النقاشات
كونها
وايضا
سكاي
يده
شاطر
لبنانية	feminine singular of لُبْنَانِيّ (lubnāniyy)	lubnāniyya
نبض	to beat/ to pulsate/ to be in a state of phase-wise commotion/ to…	nabaḍa
بالقانون	canon	qānūn
صحيحة	feminine singular of صَحِيح (ṣaḥīḥ)	ṣaḥīḥa
صحراء	desert	ṣaḥrāʔ
رياضي	of or pertaining to sports	riyāḍiyy
المذكور
حاكم	ruling/ governing	ḥākim
غذائية
عراقية	Iraqiness/ the state of being Iraqi	ʕirāqiyya
وانما
تدفع		form I
المقدم	chief	muqaddam
بكافة	all of/ altogether/ entirely	kāffatan
المحطة	station	maḥaṭṭa
لحم	flesh/ meat	laḥm
نقلت		form I
سرقة	plural of سَارِق (sāriq)	saraqa
سرية	concubine/ chivese	surriya
ابنه
الطويلة	a long rope attached to animals to graze	ṭawīla
نصية
الزور
إسبانيا	Spain (a country in Southern Europe/ including most of the Iberian…	ʔisbāniyā
الوقوف
البشري
قلعة	fortress/ fort/ castle	qalʕa or qilʕa
المصابين
ارتفعت		form VIII
جلسات	plural of جَلْسَة (jalsa)	jalasāt
مرت		marrat
نسائية
فلسطيني	Palestinian	filasṭīniyy
الديموقراطي
سريعا
المدرسي
البر	land/ dry land (as opposed to sea)	barr
المكياج	makeup/ make-up	makiyāj or mikyāj
ابيض	to turn white/ to whiten	ibyaḍḍa
سكانها
اللازم	necessary/ urgent/ unavoidable	lāzim
جثة	corpse/ cadaver	juṯṯa
استخدم	to use	istaḵdama
لهما	they both/ the two of them (masculine or feminine dual subject…	humā
بإرسال	verbal noun of أَرْسَلَ (ʔarsala) (form IV)	ʔirsāl
تايوان	Taiwan (a partly-recognized country in East Asia consisting of a…	tāywān
مئة	hundred	miʔa
العصب
دام	to last/ to endure	dāma
أثار	to arouse/ to incite/ to stimulate	ʔaṯāra
لتلك	feminine singular of ذٰلِكَ (ḏālika/ “that”)	tilka
يحق		form I
أني	to tarry/ to be tardy	ʔaniya
العماد	baptism	ʕimād
افغانستان
لقسم	to divide	qasama
ن	The twenty-fifth letter of the Arabic alphabet/ written in the…	/nuːn/
أسفل	elative degree of سَافِل (sāfil)	ʔasfal
أصدرت		form IV
للقضاء	verbal noun of قَضَى (qaḍā) (form I)	qaḍāʔ
قيم	valuable/ worthy	qayyim
المجلة	scroll/ writing paper	majalla
أرقام	plural of رَقْم (raqm)	ʔarqām
حقيقي	true/ real/ actual	ḥaqīqiyy
عندنا
القوي	to be or become strong/ powerful	qawiya
البورصة	stock market/ stock exchange/ bourse	būrṣa
أطراف	plural of طَرَف (ṭaraf)	ʔaṭrāf
الألغاز
والترحيب	verbal noun of رَحَّبَ (raḥḥaba) (form II): the act of welcoming/…	tarḥīb
ود	to love/ to like	wadda
تلقي		form I
الفرعية
وتحدث	to speak/ to talk	taḥaddaṯa
الكون	verbal noun of كَانَ (kāna) (form I)	kawn
القلق	to be agitated/ disquieted/ shaken	qaliqa
التعاقد
الاتحادية
لأكثر	elative degree of كَثِير (kaṯīr)	ʔakṯar
احتفال	verbal noun of اِحْتَفَلَ (iḥtafala) (form VIII): celebration/…	iḥtifāl
امريكا
انمي		unmī
نوعا
وأخيرا	finally/ at last	ʔaḵīran
للشركة	verbal noun of شَرِكَ (šarika) (form I)	šarika or širka
توقع	to expect (something)/ to look for/ to prepare oneself for/ to…	tawaqqaʕa
الثانوى
البيوت	plural of بَيْت (bayt)	buyūt
اليومي	daily	yawmiyy
المعدة
الخلق	to create/ to make	ḵalaqa
عزيز	powerful/ mighty	ʕazīz
رونالدو
استعدادا
والدكتور	doctor	duktūr
قاموا		qāmū
استايل
حياتنا
حسابه
تأكد	to be confirmed/ to prove to be true	taʔakkada
الاساسية
روضة	garden/ meadow	rawḍa
اليسار
تجنب	to avoid/ to shun	tajannaba
المسيحي
الجماعية
النفطية
السادة
سري	secret/ hidden/ clandestine	sirriyy
أساسي	fundamental/ basic	ʔasāsiyy
الدبلوماسية	female equivalent of دِبْلُومَاسِيّ (diblūmāsiyy)	diblūmāsiyya
الرائع	terrifying/ frightening/ awe-inspiring	rāʔiʕ
شاركت		form III
الفلاش	camera flash	flāš
وسوريا	Syria (a country in West Asia in the Middle East)	sūriyā or sūriyyā
بالعاصمة	capital city	ʕāṣima
وقدم	to precede	qadama
رفضت		form I
والإعلام	verbal noun of أَعْلَمَ (ʔaʕlama) (form IV)	ʔiʕlām
للمواطنين
المتابعة	verbal noun of تَابَعَ (tābaʕa) (form III)	mutābaʕa
انطلاقا
السلبية	negativity	salbiyya
بانه
حسابك
وبعدها
المخالفة	verbal noun of خَالَفَ (ḵālafa) (form III)	muḵālafa
ونشر	to spread out/ unroll/ exhibit	našara
منزله
أسرع	to be fast	ʔasraʕa
وحدها
بينه
أفاد	to benefit/ be helpful/ useful/ beneficial/ profitable/…	ʔafāda
وإصابة	verbal noun of أَصَابَ (ʔaṣāba/ “to hit the target/ to injure”)…	ʔiṣāba
والاستفسارات
السجاد
الثابتة	female equivalent of ثَابِت (ṯābit)	ṯābita
آراء	plural of رَأْي (raʔy)	ʔārāʔ
فليس	not to be	laysa
الممثل	actor	mumaṯṯil
الانسحاب	verbal noun of اِنْسَحَبَ (insaḥaba) (form VII)	insiḥāb
لقاءات	plural of لِقَاء (liqāʔ)	liqāʔāt
زار	to incline towards/ to repair to the direction of	zāra
أفادت		ʔafādat
الصدد
جوائز	plural of جَائِزَة (jāʔiza)	jawāʔiz
العجز	to be or become behindhand/ to lag	ʕajaza
مبالغ	plural of مَبْلَغ (mablaḡ)	mabāliḡ
فعلى	on/ over	ʕalā
المناهج	plural of مِنْهَج (minhaj)	manāhij
جناح	wing (organ of flight)	janāḥ
الاخر
بمجلس	seat	majlis
المساهمة	contribution	musāhama
بيانا
بالسجن	to confine/ to imprison	sajana
حياتهم
رأسها
بفعل	to do	faʕala
صدق	to be truthful/ to speak the truth	ṣadaqa
لمصلحة	verbal noun of صَلَحَ (ṣalaḥa) (form I)	maṣlaḥa
التلفزيونية
اجراءات
بفارق
المدونة	short academic article/ piece of writing in a journal/ a blog	mudawwana
وأعلن	to publish/ to publicize/ to reveal to the public/ to announce	ʔaʕlana
نظرية	theory	naẓariyya
القارة
أنصار
أواخر	plural of آخِر (ʔāḵir)	ʔawāḵir
استشهاد	verbal noun of اِسْتَشْهَدَ (istašhada) (form X)	istišhād
وقتها
تدعم		form I
لقائه
إنهاء	verbal noun of أَنْهَى (ʔanhā) (form IV)	ʔinhāʔ
مجموع	united	majmūʕ
المرتبطة
الأشهر	to make known/ to proclaim/ to announce	ʔašhara
تجاري	related to trade/ mercantile/ commercial	tijāriyy
الواجب	necessary/ indispensable/ unavoidable/ essential/ inevitable/…	wājib
بحوث	plural of بَحْث (baḥṯ)	buḥūṯ
آن	time	ʔān
مراجعات
الكيميائية
معالج
بيضاء	feminine singular of أَبْيَض (ʔabyaḍ)	bayḍāʔ
لتحديد	verbal noun of حَدَّدَ (ḥaddada) (form II)	taḥdīd
مزاد	auction	mazād
اذار
عبده
الغائبات
السلوك	verbal noun of سَلَكَ (salaka) (form I)	sulūk
احتياجات
وإتاحة
بمكة	Mecca (a large city in Saudi Arabia)	makka
عندها
القريب	near/ close/ adjacent	qarīb
التسلية
فروع	plural of فَرْع (farʕ)	furūʕ
