何	what
言わば	so to speak/ as it were
木材	timber – trees in a forest regarded as a source of wood.
抽象	abstraction
芸能	public entertainment/ performing art
台なし
著	renowned
接着	adhesion/ bonding
移転	a transfer
一心	wholeheartedly
発散	dissipation/ emanation/ spread
無敗
動向	direction/ trend/ tendency
花屋	a florist's shop
アウレリウス
味覚	sense of taste
仕立屋	tailor/ dressmaker
未聞
駆動	drive (e.g. of a car)
特注	special order
前代
追い回
瑤子
結び付け	be joined together
内戦	civil war
地質	geological features
利害	profits and losses
アルツハイマー
合金	an alloy (metal combined of two or more elements)
カ国	Counter for nations.
治め	to dominate/ to rule/ to govern/ to reign
近付け
生き生き	vividly
接客	customer service
駆り立て	flush out/ drive out an animal (e.g. game being hunted)
塗料	paint
中絶	termination/ discontinuation
啓発	enlightenment
不眠	sleeplessness/ insomnia
全う	全う: synonym of 全く (mattaku/ “completely”)
アイテム	item (a product)
取り逃が
授与	awarding an award/ a credit/ or prize
寿司	sushi: vinegared rice served with fish or vegetables/ etc.
マクティアニー
アイオワ	Iowa (a state in the Midwestern region of the United States)
流通	circulation (of money or information)
通りかか
疎開	evacuation
あつ	to hit/ to collide
カ所	a place/ a spot
生態	ecology/ mode of life of living creatures
アディソン
実態	real situation/ the reality (of ...)
乗り気	interested/ enthusiastic/ eager
生計	livelihood
有権	possessing rights
アレック
自惚れ	to be conceited
有様	situation/ status/ the way things are
アラ
曜	to shine brightly/ shine
満載	full load/ being fully loaded (with)/ being loaded to capacity…
修子
マリアナ
実話	true story
参列	attendance at a function
アイリッシュ
予見	foresight
一層	much more/ still more/ all the more
概要	abstract/ abridgement/ summary
願い事	a wish/ a desire
直視	looking someone in the eyes/ facing up to
図面	blueprint/ diagram
決め手	deciding factor
報奨	rewards/ bonuses/ compensation
胴体	trunk/ torso/ body
幻影	an illusion/ a vision
条項	clause
アイリング
坂口	a surname
面前
アクティブ
建	build/ establish/ erect/ found
不妊	infertility
現われ
広瀬	a surname
掘り下げ
一昨
用済み	having served one's purpose
法人	A legal person. Corporations formed for business purposes are…
包丁	kitchen knife/ cooking knife/ cleaver
張り付
アンダース
一人前	full-fledged/ qualified/ up to standard
好転	amelioration/ improvement
告げ口	tattling
球体	sphere
開けれ	to open
同業	the same trade or business
家業	family business
何色	how many colors
孵化	incubation
深度	depth
引き連れ
天地	heaven and earth/ and all things in them.
瀬川	a surname
実体	substance/ entity
たわ言
武	military/ martial
遺憾	feeling a regret that come from a failure of one's intention
学会	academic society/ academic conference
笑い事
順次	in order/ one by one/ one after another
安息	rest
血流	blood flow/ bloodstream
ザッカライア
聖水	holy water
梯子	ladder
感づ
熱中	enthusiasm for something
積み込
特使	special envoy/ special ambassador
直進	moving straight
受刑	imprisonment
実戦	actual combat
酒屋	liquor store
命運	fate/ destiny/ doom
アルファベット	alphabet
自称	self-styled/ self-proclaimed/ calling oneself
悪行	evildoing (evil or wicked act)
時田
内気	timid/ reserved
土壌	soil
万引き	shoplifting
降りかか
可哀そう
売り込
盛り上げ	to pile up/ to heap up
あっさり	simply/ plainly
アベニュー
全開	being all the way open
他界	afterworld/ next world/ afterlife
アレクサンドリア	Alexandria (a city and governorate of Egypt)
返品	return (item that is returned)
紛争	conflict/ trouble
金玉	gold and jade
アルフォンス
グリア
炎上	going up in flames/ to be consumed in flames (especially for a…
襲来	invasion/ raid/ attack/ visitation (of a calamity)
所得	what one has gained (money/ goods/ knowledge/ fruits of labour/…
ビビアン
水源	Source of a river/ fountainhead/ headwaters.
千葉	Chiba (the capital city of Chiba Prefecture/ Japan)
名乗れ	to give one’s name (as)/ to call oneself (name/ etc.)
再選	reelection
シベリア	Siberia (the region of Russia in Asia)
最寄り	nearby/ the nearest
華やか	gorgeous
殺れ
アッパー	cheery
取りかか
信憑	credence
項	nape (back of the neck)
先進	being advanced
手のひら	a palm
アセット
四六	four sixes/ twenty-four
深み
団地	multiunit apartments/ apartment complex
近衛	the royal or imperial guard(s)
峡谷	canyon/ gorge
口答え	backtalk
秒読み	countdown (counting down in seconds until something happens)
ピックアップ	pickup (choice or selection)
育成	raising of animals
生きがい	A reason for living/ one's purpose/ raison d'être.
木村	a historical village in Gamō/ Ōmi/ Tōsandō/ Japan/ equivalent to…
画廊	gallery
配偶
発注	an order for materials
陣営	military camp
洗い流
語り継
対峙	face off/ confrontation
大違い	great difference (between two things)
星雲	a nebula
不信	distrust/ mistrust (having no confidence in someone or something)
シェークスピア
殴り殺
あご	顎/ 腭/ 頤: a chin/ a lower jaw/ a meal/ chit-chat/ talk/ alternate…
如果
蓄積	accumulation
応急	responding to an emergency
吸入	inhalation
岩瀬	a surname
重度	severity/ seriousness
反動	reaction/ especially oppositions to changes
気付け	to become aware/ to notice
原住民	aborigine (aboriginal inhabitant of a country)
辞表	resignation letter
先決	first consideration/ first priority/ first of all
切り上げ	ending/ stopping
夏子	a female given name
軽視	belittlement/ despisal/ disdain/ slight/ neglect
気質	temperament/ disposition
日出男	a male given name
アジズ
書き込
亡者	dead
気力	spirit/ drive/ morale/ vigor
純度
病原	cause or source of a disease/ pathogenesis/ etiology
噴火	eruption
穀物	cereal/ grain
釘付け	nailing down
皮質	cortex
糸口	conversational gambit
銃器
アンジェロ
小嶋	a surname
浸水	immersion in water/ inundation/ flood
嫌味
高層	being extremely high
スアン
船団	fleet
一千
手立て	a means (to do something)
言い残
怖気づ
閃光	flash/ glint
無一文	pennilessness
一理	an amount of sense / logic
入会	admission/ joining/ enrollment
アラムート
国内外	inside and outside the country
名札	nameplate/ nametag
抱き合
仏教	Buddhism
ポン引き	pimp
聴衆	audience/ the people in attendance
面目	one's honor
見限
特ダネ	exclusive/ scoop/ exclusive news story
放っ
アバ
分担	apportionment/ allotment/ division
地形	terrain/ geographical features
役職	official position/ post
重み	weight
推	conjecture
構想	plan/ plot/ idea/ concept/ conception
送りつけ
事案	problem/ issue/ incident
催し	event/ function/ meeting
速攻	swift attack/ quick attack
乗っ
組み	class/ group/ team/ set
ワイアー
アレイ	dumbbell (weight)
昼休み	lunchbreak
無駄遣い	wasting one's time or money/ wasteful spending
命がけ	indifference to potential loss to life/ recklessly dangerous
アテ
素晴し
連想	association of ideas
近代	modern times/ variously described as encompassing the Renaissance/…
魔導	magic/ sorcery
あなたね
組み換え	reshuffling/ rearrangement/ recombination
小柄	knife attached to the sheath of a sword
急か
引き継ぎ	to take over/ to take on/ to assume/ to inherit
一覧	looking over/ glancing through
クラウディア
アミーゴ
事象	event/ phenomenon
手中
博学	erudite
岩山
陣形
禁物	forbidden thing
連れだ
個室	room for one person
大笑い	uproariously funny
割引	discount
ヴァリリア
規約	code/ protocol
進言	proposal to a superior/ counsel
見合い	exchange glances/ look at each other
汚点	stain/ blemish:
子牛	a calf (young cow or bull)
執務	working
前頭	maegashira
選出	election
アーリントン	Arlington (a county of Virginia/ United States)
不調	in bad shape/ in a bad condition
公的	public/ of a public trust/ official
アニメ	anime/ Japanese animation
写し	to copy
流れ者
音響	sound/ acoustics
引き分け	draw/ tie
運河	canal
他者	another person
判別	differentiation/ distinguishment
電機	electrical machinery
流産	miscarriage (termination of pregnancy)
前金	monetary payment given in advance/ advance
重視	value/ esteem/ respect/ stress
卒中	stroke/ apoplexy
手持ち	having in one's hand
窒素	nitrogen
分断	subdivision/ dividing into parts
放り	to excrete
行っ
常用	common use/ something that is commonly used
アルゼンチン	Argentina (a country in South America)
分配	distribution/ allotment/ allotting
アルトマン
言いがかり	accusation (the act of accusing)
聖戦	a holy war
特捜
遺灰
搾取	exploitation (e.g. of labour)
身辺	one's person
ハードウェア	hardware (material part of a computer)
隊形
ファイアーズ
あらそう	to sterilize/ to lay waste/ to devastate/ to put everything in…
始終	beginning to end/ continuously
政界	world of politics
競合	competition/ rivalry
情勢	state of things/ situation
あお
問い	to ask/ to inquire
差し支え	to hinder/ to obstruct/ to be hindered/ to cause inconvenience
見回り
井上	a surname
貧民	poor person
局面	the surface of the board
アルマン
アロンゾ
正統	legitimate/ orthodox
司	an official/ a director/ a boss
眼球	eyeball
次官	vice minister
炎症	inflammation
アザーズ
身勝手	selfish
服着
代謝	clipping of 新陳代謝 (“metabolism”)
あちら側
天空	sky/ ether/ air/ firmament
抵当	mortgage/ security/ pledge
総務	general affairs
過度	excessive
一角	a point
フライア
忠義	loyal/ faithful
非番
士気	morale/ esprit de corps
活か
映写	projection (of films/ slides/ etc.)
華麗	gorgeous/ splendid/ resplendent
当惑	bewilderment
あっそ
終止	stopping/ termination
画策	arrangement/ scheme/ plan
腕利き	able/ competent
従来	old/ existing/ so far
霊能
特大	being especially large
挽回	recovery/ restoration/ revival/ retrieval
見下ろ
展	unfold
周回	one time around/ a lap around
差し向け
町長	town mayor
入室	entering a room
車線	road lane
知覚	perception
的確	precise
陣地	military position
縁組
もてあそ
アリスター
疾病	disease
不変	constancy/ unchangeable/ immutable/ everlasting
義弟	brother-in-law (spouse's younger brother or younger sister's husband)
物置	storeroom/ space used for storage
代価	price (cost to buy something)/ fee
落ち度	failure/ mistake/ slip-up
金星	Venus (planet)
置き換え
天罰	divine punishment
執念	strong belief or desire/ obsession/ fixation
正門	the main gate
アルバイト	part-time job/ especially for students (as opposed to one's main…
上物
西洋	The West/ western countries
日听
運送	conveyance/ transportation
連結	concatenation/ connection/ combination/ link
アストリド
売り切れ	sold out
教え子	student/ pupil/ disciple (especially former)
流れ出
乞食	beggar
トゥービア
外務	foreign affairs
ブロア
強靭	strong/ tough/ robust
熟知	thorough knowledge of
口癖	phrase that one uses regularly
