de	of (expresses belonging)
repousser	to push back/ push out of the way
roues	a wheel
surmonter	to overcome/ to surmount/ to get over
cœurs	heart (organ)
exécuter	to execute/ to carry out
agneau	lamb (young sheep)
ruby
syndrome	syndrome
mama
dimension	dimension
téléphonique	telephone
parcours	route/ course
excite	inflection of exciter:
jesus
becky
scolaire	school/ scholastic/ academic
dis-le-moi
appelons	inflection of appeler:
dingues	mad/ crazy/ nuts
finissent	to finish/ end/ complete
générations	generation (act of generating)
raser	to shave
étages	floor/ storey
rende	to give back
cheminée	a chimney
voyous	urchin/ street child
saoul	drunk
merdique	shitty/ crappy
bell
sont-elles
sun
saine	healthy/ in good health
nazis	Nazi
chiant	to shit/ defecate
alimentaire	food/ alimentary
observation	observation (careful or controlled attention or consideration)
clean
grossier	coarse (physically/ not fine)
reid
ajoute	to add/ append
délicate	delicate
capturer	to capture (catch/ seize e.g. an enemy)
môme	kid/ brat
calmes	calm
sullivan
excepté	except
papy	grandad/ grandpa
distraire	to distract
rappellerai	to call again/ to call back
profondeur	depth
randall
chèques	cheque
triple	triple
regret	regret
mulder
vulgaire	vulgar/ crude
jouant	to play (engage in games or play)
grain	grain
grenier	granary
emplacement	site/ location
coopérer	to cooperate
faciles	easy/ simple
torturer	to torture (to intentionally inflict severe pain on someone/…
crétins	cretin (someone affected by cretinism)
aîné	oldest/ elder
sembler	to seem/ to resemble/ to look like
journées	day
char	chariot/ carriage
tire-toi
home
électronique	electronic
richie
collé	to stick (together)/ to glue
attendez-moi
infiniment	infinitely/ ad infinitum
retournons	to turn over/ turn upside-down/ (in cooking) to turn
armées	army
aigle	eagle (any of a number of species of birds of prey)
matelas	mattress
poussez-vous
proie	prey
furieuse	feminine singular of furieux
angoisse	anguish/ distress
traitée	past participle of traiter
prévoir	to anticipate/ foresee/ expect (reaction/ event/ etc.)
mick
tais	inflection of taire:
iront	to go
vachement	bloody/ extremely
barrage	dam/ barrage
gays	plural of gay
éternellement	eternally
coeurs	nonstandard spelling of cœur
sens-tu
buddy
austin
marcel	a male given name/ equivalent to English Marcel/ traditionally…
stand	stand (In various senses/ such as a small building/ booth/ or…
durée	past participle of durer
wells
robots	robot
sheila
vietnam	Vietnam (a country in Southeast Asia)
peggy	a female given name
broadway	Broadway
rôles	role
crash	crash landing
débrouille	to disentangle (threads)
arrache	to uproot/ pull up/ tear out
diagnostic	diagnosis
flynn
texto	literally/ word for word
harcèlement	harassment/ bullying
délai	time limit
reggie
inscrit	to inscribe (engrave)
cassie
barnes
arnold
nègre	negro
bosses	boss (leader)
vainqueur	conqueror
achetée	past participle of acheter
manipuler	to manipulate
représenter	to represent (to be the representative of)
sortais	to exit/ go out/ come out
elvis
araignée	spider
colonie	colony
faillite	bankruptcy
pognon	dough/ dosh/ bread (money)
égalité	equality
honorer	to honor/ to honour
group
pensaient	to think/ reflect/ concentrate one's mind on something
courageuse	courageous/ brave/ daring
mentale	mind/ mental
travaillant	to work
espoirs	hope
rideaux	curtain (woven fabric to cover/ e.g./ windows)
renard	fox (small carnivore)
trouveront	to find/ to retrieve something lost/ turn up something hidden/ or…
boom	boom (rapid expansion or increase)
jon
vœux	vow
françois	French
mineurs	minor
inspire	inflection of inspirer:
douleurs	pain
défendu	to defend
aimiez	to love (usually of a person/ otherwise the meaning is closer to…
exister	to exist
israël	Israel (a country in Western Asia in the Middle East/ at the…
tripes	tripe
brésil	Brazil (a large Portuguese-speaking country in South America)
denny
assurez-vous
plaira	to please/ to appeal to (usually translated into English as like…
pacte	pact/ deal
réagi	to react/ respond
dons	plural of don
choper	to steal/ nick/ pinch
honoré	to honor/ to honour
griffin
isabelle	a female given name
multiples	multiple
sacrément	bloody/ incredibly/ really
hôpitaux	hospital
zones	zone
agressé	to assault/ to attack
transporter	to transport
ambition	ambition
colis	parcel/ package
regardons	to look at
grimper	(climbing) to climb/ climb up
dessiner	to draw/ to sketch
mouillé	to make wet/ get wet/ dampen/ moisten
édition	edition (of a magazine/ etc.)
chargée	past participle of charger
obsession	obsession
mallette	briefcase
casquette	cap/ baseball cap/ flat cap
pèse	to weigh (to have a weight of)
purée	puree
invasion	invasion
prétexte	excuse/ pretext (explanation designed to avoid or alleviate guilt…
was
candidats	candidate
impasse	stalemate/ impasse (situation in which no progress can be made/…
cleveland
tissus	fabric
démissionne	to resign
messe	Mass (church service)
revoilà	here (something is) again
vivais	to live
modeste	modest/ humble
cow-boy	cowboy
présents	present
mona
vice	vice (bad habit)
éloigné	past participle of éloigner
garantis	to guarantee (to assure that something will get done right)
saurez	to know (something)
vaincu	to defeat/ vanquish
déja
graisse	grease
poulets	chicken
stock	stock/ goods in supply
right
vœu	vow
kansas	Kansas (a state of the midwest United States)
hunt
camps	camp (outdoor area for tents/ etc.)
opposé	to oppose
buvons	to drink
arc	bow (weapon)
niveaux	level (general)
accidents	accident
inutiles	useless/ unnecessary/ pointless
gentillesse	kindness/ niceness
commençait	to begin/ commence
taureau	bull
arrete
selle	to saddle
na
missile	missile
détestent	to hate/ to detest (to thoroughly dislike)
inspiré	to breathe in
banane	banana (the fruit)
réplique	to reply/ to retort
remplacé	to replace
effrayée	past participle of effrayer/ frightened
commune	commune (administrative subdivision)
aspect	aspect
autorise	to authorise
thérapeute	therapist
désagréable	unpleasant/ disagreeable
examiné	to examine
crack	champion/ ace/ expert
fédération	federation
comparer	to compare
stopper	to stop/ in regard to motors and machines
relevés	past participle of relever
reynolds
prié	to pray
pressentiment	presentiment/ hunch/ premonition
repose-toi
matty
conviction	conviction
offres	offer
assassinée	past participle of assassiner
emmènes	to take off/ take away or out
saisis	to take hold of/ to grab
rein	kidney
lourde	heavy
trouverons	to find/ to retrieve something lost/ turn up something hidden/ or…
fontaine	fountain
flippant	to freak out
buffy
favori	favo(u)rite
comprendra	to understand/ comprehend
lits	bed
religieux	religious
glenn
cal	callus (hardened part of the skin)
ruine	ruin/ wreck
confidentiel	confidential
participé	past participle of participer
décoller	to take off (i.e. a plane)
déclarer	to declare
timing	synchronization
publié	to publish/ to release/ to issue
merdes	turd/ piece of feces/ shit
ciseaux	plural of ciseau
empirer	to worsen
south
attentat	attack/ assault (illegal act of violence toward another)
instable	unstable
chômage	idleness
renverser	to turn over/ turn upside down
dixon
mortelle	mortal
endormie	past participle of endormir
apparu	to appear (become visible)
hésite	to hesitate
pensions	a pension/ regularly received payment
balai	broom
distributeur	distributor (company)
prit	to take
environs	a surrounding area
rapides	fast/ rapid
revenons	to come back/ to return
tiens-toi	to have/ to hold
aventures	adventure
florence	Florence (a city and comune/ the capital of the Metropolitan City…
belle-mère	mother-in-law
isolé	to isolate
éthique	ethical
if	yew
bars	bar (establishment)
détecteur	detector/ sensor
aveux	oath of allegiance
commentaires	comment/ remark
bornes	bollard such as those used to restrict automobiles off a…
réussit	to manage to do something
sécurisé	to secure (to move from a feeling of anxiety to a feeling of…
coca	Coke (serving of Coca-Cola)
utilises	to use/ to utilize
béton	concrete
tess
tables	plural of table
cachés	hidden
retournée	past participle of retourner
fumier	manure/ dung
douglas	Douglas (the capital city of the Isle of Man/ United Kingdom)
baraque	shack/ hut
franchir	to clear/ to cross (a line)/ to pass (an obstacle etc.)/ to get…
tortue	turtle or tortoise
isaac	Isaac (Biblical figure)
revois	to see again
fonctionnent	to function/ to work
performance	performance
verront	to see (visually)
nage	to swim
clubs	club (an association of members joining together for some common…
profession	profession/ public declaration
gâche	oar
vidé	to empty/ to empty out
glisse	to slip/ to slide/ to skid
changes	exchange
pourrait-il
valable	valid/ acceptable
conditionnelle	conditional/ depending on conditions
soupçons	suspicion/ mistrust
lessive	lye/ alkaline solution/ detergent
radios	radio/ tuner
urine	urine
score	score (in a sport/ game)
dorénavant	henceforth/ from now on/ from this day forward
escorte	to escort
location	renting/ rental
fiona	a female given name from the Goidelic languages/ popular in the…
démissionner	to resign
fondre	to melt/ melt down/ smelt
financier	financial
draguer	to dredge (to make a channel wider or deeper)
outre	goatskin/ wine skin/ water skin
démonstration	demonstration (act of showing and explaining)
diabolique	devil's/ Devil's/ diabolic
fichez	to plug in (to drive something in by its point/ as with a nail or…
moutons	sheep (animal)
justifier	to justify
supposée	past participle of supposer
rasoir	razor
utilisait	to use/ to utilize
sympathique	nice/ kind/ friendly/ likeable
confirmation	confirmation (all senses)
planifié	to plan ahead/ to prepare oneself
latin	Latin
formulaire	form (document to be filled in)
tuyaux	pipe
chen
répondeur	lippy/ mouthy
travaillons	to work
mineur	minor
active	feminine singular of actif
dispositif	arrangement/ lay-out
confusion	confusion
alimentation	feeding
fuis	past participle of fuir
jupe	skirt
plancher	plancher (floor made of wood)
épargner	to save (time/ money etc.)
évacuation	evacuation (act of emptying)
attache	to affix/ bind/ tie something to something else/ especially with rope
patates	ellipsis of patate douce/ sweet potato
partait	to share/ to share out/ to divide
dirais-tu
dawson
séquence	sequence (set of things in a set order)
jouons	to play (engage in games or play)
inévitable	inevitable/ unavoidable
violation	violation
brennan
marina	third-person singular past historic of mariner
intrus	intruder (unknown unwelcome person)
soulagement	relief (removal of stress or discomfort)
correspondent	to correspond
sortirai	to exit/ go out/ come out
yoga	yoga
cape	cape
troupeau	herd (of horses/ bulls/ elephants/ buffalo etc.)
déclenché	past participle of déclencher
assure-toi
pouvions	can/ to be able to
abeilles	bee/ honey bee
fermez-la
rocky
rex
croira	to believe (someone)
minus	idiot/ imbecile
tueront	to kill
hotel
cam	cam (device for filming)
ados	teen/ teenager
vont-ils
gin	gin
traites	past participle of traire
télégramme	telegram
menacer	to threaten
inscrire	to inscribe (engrave)
manoir	manor/ mansion
contrarié	past participle of contrarier
concentration	concentration (mental state of being concentrated)
brody
provoque	to provoke/ bring on/ bring about
achetez	to purchase/ buy
jambon	ham
papi	grandad/ grandpa
cérébrale	cerebral
assistance	assistance
brett
avalé	to swallow
professeurs	teacher
rêvais	to dream
pétasse	to blow off/ fart
braquage	robbery (especially armed robbery)/ hold-up/ stickup/ raid
chinoise	of China/ Chinese
see
piges	measure
lci
lester	to ballast
tiers	third
légalement	legally
aliens	alien (extraterrestrial)
suggéré	to suggest/ propose
dîtes	to say/ to tell (to express through speech)
déchire	to tear/ to rip up
hypothèse	hypothesis
dwight
demandée	past participle of demander
mets-le
gonna
pointer	to point to/at
cigare	cigar (rolled bundle of tobacco made for smoking)
adorais	to love/ to adore
serrure	lock
qg
marron	horse-chestnut
préserver	to preserve
dépasser	to exceed
nuls	of poor quality/ lousy/ rubbish
accroché	to hook/ hook up (attach with a hook)
mikey
chanté	to sing
surveillez	to monitor/ to survey/ to watch
anciennes	old/ former/ ex- (no longer current)
dégueu	bloody disgusting/ rank/ yucky/ gross
raccrocher	to hang again/ to hang back up
billard	billiards
allah
sauveur	savior/ knight in shining armor
séduire	to seduce
coiffeur	hairdresser
marais	swamp/ marsh
conrad
déclencher	to trigger/ to spark/ to set off
armoire	wardrobe (British)/ closet (US)/ a cabinet/ taller than it is…
glaces	ice
îles	island
habille	to dress
elaine
klaus
vertu	virtue
respecté	to respect
gangs	gang/ group of ill-doer
campbell
appelais	to call (out)
episode
détestais	to hate/ to detest (to thoroughly dislike)
cuba	Cuba (a country/ the largest island (based on land area) in the…
sonny
aimerions	to love (usually of a person/ otherwise the meaning is closer to…
